Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
22/12/2022,"77,000.00","79,300.00","79,500.00","77,000.00",1.59M,-1.66%
21/12/2022,"78,300.00","78,300.00","79,184.20","78,103.50",2.31M,1.27%
20/12/2022,"77,317.60","75,942.10","78,300.00","75,549.20",3.03M,2.21%
19/12/2022,"75,647.40","77,121.10","77,121.10","75,647.40",2.42M,-1.28%
16/12/2022,"76,629.90","76,335.10","77,415.80","76,236.90",3.00M,0.52%
15/12/2022,"76,236.90","76,138.60","77,808.80","75,942.10",2.60M,0.13%
14/12/2022,"76,138.60","78,005.30","78,005.30","76,138.60",3.52M,-0.64%
13/12/2022,"76,629.90","77,219.30","78,005.30","75,843.90",3.61M,-0.64%
12/12/2022,"77,121.10","78,889.50","80,461.30","77,022.80",3.14M,-1.87%
9/12/2022,"78,594.70","79,577.20","80,363.10","78,594.70",2.41M,-1.23%
8/12/2022,"79,577.20","81,542.00","82,524.50","79,577.20",1.60M,-1.82%
7/12/2022,"81,050.80","81,542.00","82,819.20","80,363.10",1.84M,0.00%
6/12/2022,"81,050.80","83,506.90","83,605.10","81,050.80",1.40M,-2.94%
5/12/2022,"83,506.90","82,622.70","84,096.40","82,622.70",2.07M,1.19%
2/12/2022,"82,524.50","80,854.30","82,524.50","80,559.60",2.52M,1.94%
1/12/2022,"80,952.60","80,166.60","81,443.80","80,166.60",2.22M,-0.48%
30/11/2022,"81,345.50","81,542.00","81,542.00","80,068.40",2.00M,-0.24%
29/11/2022,"81,542.00","79,871.90","81,836.80","79,085.90",2.40M,1.59%
28/11/2022,"80,264.90","80,559.60","81,935.00","80,264.90",2.30M,-0.61%
25/11/2022,"80,756.10","79,871.90","81,247.30","79,577.20",2.60M,1.23%
24/11/2022,"79,773.60","77,612.30","79,773.60","77,514.00",2.88M,2.27%
23/11/2022,"78,005.30","78,103.50","78,300.00","76,924.60",773.10K,-0.13%
22/11/2022,"78,103.50","76,138.60","78,791.20","76,040.40",2.28M,2.05%
21/11/2022,"76,531.60","75,647.40","76,531.60","75,549.20",1.79M,1.17%
18/11/2022,"75,647.40","75,647.40","76,433.40","74,370.30",2.23M,1.32%
17/11/2022,"74,665.00","75,450.90","76,924.60","73,780.80",2.60M,2.01%
16/11/2022,"73,191.30","74,173.80","77,415.80","72,503.60",3.54M,-3.25%
